Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,2.75,Branta canadensis,Canada Goose,0.0609,rec_d1_00_01_49.wav
0.0,2.75,Branta canadensis,Canada Goose,0.2271,rec_d1_00_01_52.wav
0.0,2.75,Branta canadensis,Canada Goose,0.3250,rec_d1_00_01_56.250000.wav
0.0,2.75,Branta canadensis,Canada Goose,0.8612,rec_d1_00_01_59.wav
0.0,2.75,Branta canadensis,Canada Goose,0.7144,rec_d1_00_02_02.wav
0.0,2.75,Branta canadensis,Canada Goose,0.8363,rec_d1_00_02_05.250000.wav
0.0,2.75,Branta canadensis,Canada Goose,0.0771,rec_d1_00_06_25.250000.wav
0.0,2.75,Branta canadensis,Canada Goose,0.4519,rec_d1_00_06_28.500000.wav
0.0,2.75,Ciconia ciconia,White Stork,0.2175,rec_d1_00_06_31.250000.wav
0.0,2.75,Branta canadensis,Canada Goose,0.1061,rec_d1_00_06_31.250000.wav
0.0,2.75,Branta canadensis,Canada Goose,0.3991,rec_d1_00_06_39.750000.wav
0.0,2.75,Branta canadensis,Canada Goose,0.4929,rec_d1_00_06_48.wav
0.0,2.75,Branta canadensis,Canada Goose,0.5532,rec_d1_00_06_52.wav
0.0,2.75,Fulica atra,Eurasian Coot,0.0510,rec_d1_00_06_52.wav
0.0,2.75,Branta canadensis,Canada Goose,0.3932,rec_d1_00_07_30.750000.wav
0.0,2.75,Branta canadensis,Canada Goose,0.4918,rec_d1_00_07_36.250000.wav
0.0,2.75,Branta canadensis,Canada Goose,0.6983,rec_d1_00_07_39.250000.wav
0.0,2.75,Branta canadensis,Canada Goose,0.7506,rec_d1_00_07_42.wav
0.0,2.75,Branta canadensis,Canada Goose,0.6012,rec_d1_00_07_44.750000.wav
0.0,2.75,Branta canadensis,Canada Goose,0.8169,rec_d1_00_07_47.500000.wav
0.0,2.75,Branta canadensis,Canada Goose,0.0767,rec_d1_00_08_35.750000.wav
0.0,2.75,Branta canadensis,Canada Goose,0.4805,rec_d1_00_08_38.500000.wav
0.0,2.75,Branta canadensis,Canada Goose,0.1159,rec_d1_00_09_01.wav
0.0,2.75,Branta canadensis,Canada Goose,0.1573,rec_d1_00_09_06.500000.wav
0.0,2.75,Branta canadensis,Canada Goose,0.5402,rec_d1_00_09_10.500000.wav
0.0,2.75,Branta canadensis,Canada Goose,0.4769,rec_d1_00_09_16.750000.wav
0.0,2.75,Branta canadensis,Canada Goose,0.2178,rec_d1_00_09_56.wav
0.0,2.75,Branta canadensis,Canada Goose,0.8414,rec_d1_00_09_58.750000.wav
