Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.1830,rec_d1_06_51_10.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.2994,rec_d1_06_51_14.250000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.3155,rec_d1_06_51_19.750000.wav
0.0,2.75,Pica pica,Eurasian Magpie,0.0976,rec_d1_06_51_42.750000.wav
0.0,2.75,Passer domesticus,House Sparrow,0.0818,rec_d1_06_51_49.250000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.1571,rec_d1_06_51_59.250000.wav
0.0,2.75,Bubulcus ibis,Cattle Egret,0.2913,rec_d1_06_52_04.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.1172,rec_d1_06_52_04.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.4816,rec_d1_06_52_06.750000.wav
0.0,2.75,Passer domesticus,House Sparrow,0.1048,rec_d1_06_52_18.500000.wav
0.0,2.75,Passer domesticus,House Sparrow,0.1275,rec_d1_06_52_21.250000.wav
0.0,2.75,Passer domesticus,House Sparrow,0.0934,rec_d1_06_52_24.250000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.2775,rec_d1_06_52_34.250000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.0725,rec_d1_06_52_38.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.1981,rec_d1_06_52_48.250000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.1088,rec_d1_06_52_54.750000.wav
0.0,2.75,Bubulcus ibis,Cattle Egret,0.0981,rec_d1_06_52_54.750000.wav
0.0,2.75,Pica pica,Eurasian Magpie,0.0612,rec_d1_06_52_54.750000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.1185,rec_d1_06_52_57.500000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.2443,rec_d1_06_53_00.500000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.2367,rec_d1_06_53_03.500000.wav
0.0,2.75,Passer domesticus,House Sparrow,0.0738,rec_d1_06_53_03.500000.wav
0.0,2.75,Anthropoides virgo,Demoiselle Crane,0.1208,rec_d1_06_53_18.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.8220,rec_d1_06_53_20.750000.wav
0.0,2.75,Branta canadensis,Canada Goose,0.1617,rec_d1_06_53_20.750000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.7345,rec_d1_06_53_26.wav
0.0,2.75,Branta canadensis,Canada Goose,0.1440,rec_d1_06_53_26.wav
0.0,2.75,Branta canadensis,Canada Goose,0.4056,rec_d1_06_53_34.500000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.1301,rec_d1_06_53_48.750000.wav
0.0,2.75,Pica pica,Eurasian Magpie,0.0931,rec_d1_06_53_48.750000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.0599,rec_d1_06_53_57.250000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.2693,rec_d1_06_54_01.500000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.2000,rec_d1_06_54_12.wav
0.0,2.75,Fulica atra,Eurasian Coot,0.0515,rec_d1_06_54_12.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.6747,rec_d1_06_54_15.250000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.6477,rec_d1_06_54_18.250000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.2902,rec_d1_06_54_21.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.5347,rec_d1_06_54_23.750000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.7972,rec_d1_06_54_27.500000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.4421,rec_d1_06_54_30.250000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.4857,rec_d1_06_54_40.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.6604,rec_d1_06_54_58.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.0744,rec_d1_06_55_00.750000.wav
0.0,2.75,Corvus monedula,Eurasian Jackdaw,0.1637,rec_d1_07_00_08.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.5312,rec_d1_07_00_13.500000.wav
0.0,2.75,Branta canadensis,Canada Goose,0.1687,rec_d1_07_00_20.500000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.2717,rec_d1_07_00_52.500000.wav
