Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.5039,rec_d1_05_18_25.500000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.5532,rec_d1_05_18_29.250000.wav
0.0,2.75,Egretta garzetta,Little Egret,0.4631,rec_d1_05_18_37.750000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.7319,rec_d1_05_18_40.750000.wav
0.0,2.75,Egretta garzetta,Little Egret,0.4656,rec_d1_05_18_43.750000.wav
0.0,2.75,Egretta garzetta,Little Egret,0.2403,rec_d1_05_18_46.500000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.8838,rec_d1_05_18_50.750000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.6328,rec_d1_05_18_57.500000.wav
0.0,2.75,Passer domesticus,House Sparrow,0.0770,rec_d1_05_19_15.wav
0.0,2.75,Passer domesticus,House Sparrow,0.1323,rec_d1_05_19_33.500000.wav
0.0,2.75,Passer domesticus,House Sparrow,0.1624,rec_d1_05_19_41.wav
0.0,2.75,Passer domesticus,House Sparrow,0.1410,rec_d1_05_20_09.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.4462,rec_d1_05_20_13.500000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.1348,rec_d1_05_20_18.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.4318,rec_d1_05_20_21.250000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.0712,rec_d1_05_20_24.500000.wav
0.0,2.75,Egretta garzetta,Little Egret,0.0603,rec_d1_05_20_24.500000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.6352,rec_d1_05_20_28.wav
0.0,2.75,Passer domesticus,House Sparrow,0.0808,rec_d1_05_20_32.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.9321,rec_d1_05_20_38.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.9769,rec_d1_05_20_40.750000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.9918,rec_d1_05_20_43.750000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.9255,rec_d1_05_20_46.500000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.9359,rec_d1_05_20_49.250000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.9892,rec_d1_05_20_52.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.9097,rec_d1_05_20_54.750000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.9807,rec_d1_05_20_57.500000.wav
0.0,2.75,Passer domesticus,House Sparrow,0.0760,rec_d1_05_21_20.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.8276,rec_d1_05_21_26.wav
0.0,2.75,Egretta garzetta,Little Egret,0.0604,rec_d1_05_21_31.500000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.9882,rec_d1_05_21_39.750000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.1886,rec_d1_05_21_42.500000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.8987,rec_d1_05_21_45.250000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.8966,rec_d1_05_21_49.250000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.9962,rec_d1_05_21_52.750000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.9275,rec_d1_05_21_59.wav
0.0,2.75,Gallinula chloropus,Eurasian Moorhen,0.0653,rec_d1_05_21_59.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.9816,rec_d1_05_22_06.750000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.9929,rec_d1_05_22_09.500000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.9006,rec_d1_05_22_14.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.2138,rec_d1_05_22_28.750000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.1494,rec_d1_05_22_38.750000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.7524,rec_d1_05_22_41.500000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.9870,rec_d1_05_22_50.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.9628,rec_d1_05_22_54.250000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.7198,rec_d1_05_22_58.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.3443,rec_d1_05_23_00.750000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.9896,rec_d1_05_23_12.500000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.8314,rec_d1_05_23_15.500000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.9546,rec_d1_05_23_18.750000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.9950,rec_d1_05_23_22.500000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.9575,rec_d1_05_23_30.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.9026,rec_d1_05_23_37.750000.wav
0.0,2.75,Egretta garzetta,Little Egret,0.2737,rec_d1_05_23_45.500000.wav
0.0,2.75,Passer domesticus,House Sparrow,0.0844,rec_d1_05_23_45.500000.wav
0.0,2.75,Passer domesticus,House Sparrow,0.0763,rec_d1_05_24_07.250000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.4777,rec_d1_05_24_10.250000.wav
0.0,2.75,Passer domesticus,House Sparrow,0.0585,rec_d1_05_24_10.250000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.9010,rec_d1_05_24_18.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.5531,rec_d1_05_24_26.500000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.9361,rec_d1_05_24_29.250000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.8911,rec_d1_05_24_32.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.0682,rec_d1_05_24_35.500000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.3801,rec_d1_05_24_42.250000.wav
0.0,2.75,Passer domesticus,House Sparrow,0.1494,rec_d1_05_24_55.250000.wav
0.0,2.75,Passer domesticus,House Sparrow,0.0716,rec_d1_05_25_01.750000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.1071,rec_d1_05_25_05.500000.wav
0.0,2.75,Passer domesticus,House Sparrow,0.0575,rec_d1_05_25_05.500000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.6972,rec_d1_05_25_08.250000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.2446,rec_d1_05_25_11.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.2532,rec_d1_05_25_14.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.7868,rec_d1_05_25_16.750000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.3086,rec_d1_05_25_20.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.2561,rec_d1_05_25_22.750000.wav
0.0,2.75,Passer domesticus,House Sparrow,0.0761,rec_d1_05_25_34.250000.wav
0.0,2.75,Passer domesticus,House Sparrow,0.0606,rec_d1_05_25_38.500000.wav
0.0,2.75,Passer domesticus,House Sparrow,0.0892,rec_d1_05_25_56.250000.wav
0.0,2.75,Passer domesticus,House Sparrow,0.2337,rec_d1_05_26_01.wav
0.0,2.75,Gallinula chloropus,Eurasian Moorhen,0.0595,rec_d1_05_26_05.250000.wav
0.0,2.75,Passer domesticus,House Sparrow,0.0583,rec_d1_05_26_05.250000.wav
0.0,2.75,Passer domesticus,House Sparrow,0.0574,rec_d1_05_26_08.250000.wav
0.0,2.75,Passer domesticus,House Sparrow,0.0646,rec_d1_05_26_11.750000.wav
0.0,2.75,Passer domesticus,House Sparrow,0.0553,rec_d1_05_26_16.250000.wav
0.0,2.75,Passer domesticus,House Sparrow,0.1465,rec_d1_05_26_20.250000.wav
0.0,2.75,Passer domesticus,House Sparrow,0.1048,rec_d1_05_26_25.250000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.3250,rec_d1_05_26_46.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.8909,rec_d1_05_26_49.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.1800,rec_d1_05_26_52.500000.wav
0.0,2.75,Egretta garzetta,Little Egret,0.3983,rec_d1_05_27_44.750000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.3549,rec_d1_05_27_53.250000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.4625,rec_d1_05_27_56.500000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.1428,rec_d1_05_27_59.250000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.5874,rec_d1_05_28_02.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.3990,rec_d1_05_28_04.750000.wav
0.0,2.75,Pica pica,Eurasian Magpie,0.0593,rec_d1_05_28_14.250000.wav
0.0,2.75,Pica pica,Eurasian Magpie,0.0672,rec_d1_05_28_18.500000.wav
0.0,2.75,Pica pica,Eurasian Magpie,0.0501,rec_d1_05_28_22.wav
0.0,2.75,Passer domesticus,House Sparrow,0.0503,rec_d1_05_28_26.750000.wav
0.0,2.75,Passer domesticus,House Sparrow,0.0767,rec_d1_05_28_45.250000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.3692,rec_d1_05_28_49.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.9001,rec_d1_05_28_51.750000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.4359,rec_d1_05_28_54.500000.wav
0.0,2.75,Egretta garzetta,Little Egret,0.0566,rec_d1_05_28_54.500000.wav
0.0,2.75,Egretta garzetta,Little Egret,0.1111,rec_d1_05_29_00.250000.wav
0.0,2.75,Passer domesticus,House Sparrow,0.0719,rec_d1_05_29_00.250000.wav
0.0,2.75,Passer domesticus,House Sparrow,0.0504,rec_d1_05_29_24.250000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.2675,rec_d1_05_29_35.750000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.2966,rec_d1_05_29_38.500000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.0654,rec_d1_05_29_47.500000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.9504,rec_d1_05_30_06.500000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.5291,rec_d1_05_30_09.500000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.1749,rec_d1_05_30_19.wav
0.0,2.75,Corvus corone,Carrion Crow,0.0564,rec_d1_05_30_37.250000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.7191,rec_d1_05_30_46.500000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.0991,rec_d1_05_30_55.750000.wav
0.0,2.75,Phoenicopterus roseus,Greater Flamingo,0.9415,rec_d1_05_31_00.wav
